text,valor,etiqueta
b'@ElaKageyama A mi me agrada sentirme cansado me imagino que soy como Rocky apunto de pelear contra Draco y as\xc3\x83\xc6\x92\xc3\x82\xc2\xad.',,
b'Me duele ver este tipo de documentales. Encabrona ver el nivel de estupidez humana que existe en nuestra sociedad.',,
"b'Por si no sabes, al tirar eso a la basura fue como si hubieras tirado un pedacito de mi coraz\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n...'",,
b'Bueno la Pop no me respondi\xc3\x83\xc6\x92\xc3\x82\xc2\xb3 hoy pero estoy seguro de que se ir\xc3\x83\xc6\x92\xc3\x82\xc2\xa1 a dormir contenta de existir &lt',,
"b'@fer_zamruv Me late la idea Fer, \xc3\x83\xe2\x80\x9a\xc3\x82\xc2\xbfqu\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 d\xc3\x83\xc6\x92\xc3\x82\xc2\xada puedes? mil gracias, que tu semestre tambi\xc3\x83\xc6\x92\xc3\x82\xc2\xa9n sea bien bonito, disfr\xc3\x83\xc6\x92\xc3\x82\xc2\xbatalo mucho...'",,
"b'Gracias a Comedy Central y MTV voy a estar en la nueva temporada de South Park, no se la pierdan [naa.. solo me\xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\x82\xc2\xa6'",,
"b'No quiero trabajar porque ayer yoosung me llam\xc3\x83\xc6\x92\xc3\x82\xc2\xb3 y no le respond\xc3\x83\xc6\x92\xc3\x82\xc2\xad, si hoy me pasa lo mismo me suicido, quiero escuchar su voz'",,
"b'Yo y mi melancol\xc3\x83\xc6\x92\xc3\x82\xc2\xada Mis d\xc3\x83\xc6\x92\xc3\x82\xc2\xadas tr\xc3\x83\xc6\x92\xc3\x82\xc2\xa1gicos de depresi\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n y no quiero hacer nada, no trabajo, no salir, me siento vac\xc3\x83\xc6\x92\xc3\x82\xc2\xada'",,
"b'Tengo dolor de estomago no se que me aria mal si los tacos,los esquimales,el esquiete,el chocolate, las empanadas o el marquesote'",,
"b'Dice el doctor que sospecha que las lesiones sean de marisco pegajoso por eso tomo biopsias. - Se llama molusco contagioso - Ah, si, eso.'",,
"b""Acabo de recibir un CV de un dise\xc3\x83\xc6\x92\xc3\x82\xc2\xb1ador dentro de una revista en pdf, videos de su novia en youtube y jpgs random Still don't get it.""",,
"b'As\xc3\x83\xc6\x92\xc3\x82\xc2\xad que valoren los buenos d\xc3\x83\xc6\x92\xc3\x82\xc2\xadas que les dan aunque no sea de la persona que les gusta, si te los dan es por algo. Ash, los odie'",,
"b'""Un soldado en cada hijo te di\xc3\x83\xc6\x92\xc3\x82\xc2\xb3"" dice el himno, pero no es as\xc3\x83\xc6\x92\xc3\x82\xc2\xad, te hemos fallado M\xc3\x83\xc6\x92\xc3\x82\xc2\xa9xico, unos en hechos y otros por limitarnos a observar'",,
"b'\xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac?Mi celular no sirve. \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac?\xc3\x83\xe2\x80\x9a\xc3\x82\xc2\xbfPor qu\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 lo dices? \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac?Es que no me llegan sus mensajes. \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac?A lo mejor no te ha mandado mensajes. \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac?QUE NO SIRVE, DIJE!'",,
"b'\xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac?\xc3\x83\xe2\x80\x9a\xc3\x82\xc2\xbfMe invitas un caf\xc3\x83\xc6\x92\xc3\x82\xc2\xa9? \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac?S\xc3\x83\xc6\x92\xc3\x82\xc2\xad, vamos al mejor caf\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 del mundo. \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac?\xc3\x83\xe2\x80\x9a\xc3\x82\xc2\xbfEse cu\xc3\x83\xc6\x92\xc3\x82\xc2\xa1l es? \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac?El caf\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 de tus ojos. \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac?\xc3\x83\xe2\x80\x9a\xc3\x82\xc2\xbfNo traes dinero verdad? \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac?No, soy pobre.'",,
b'$gruma manipulada..????..No creo..!!!..Todo el 2016 estaba pal perro..!!!...Ahora resulta..!!!...o report\xc3\x83\xc6\x92\xc3\x82\xc2\xb3 el trimestre..??...',,
"b'Que triste es la vida, que me acabo de dar cuenta que NO HAY EMOJIS DE CARNE ASADA!!!!!!!!!!!!!!!!! #fuckingvida'",,
"b'Sent\xc3\x83\xc6\x92\xc3\x82\xc2\xad muy feo, entr\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 a su Twitter y ya no me sigue  ya vali\xc3\x83\xc6\x92\xc3\x82\xc2\xb3...ahora si ya se acab\xc3\x83\xc6\x92\xc3\x82\xc2\xb3, no me habla por whats y no me sigue en ninguna rs'",,
b'Aun que vengas de rodillas &amp; me implores &amp; me digas aun que vengas &amp; me llores que te absuelva &amp; perdone este es el ultimo adi\xc3\x83\xc6\x92\xc3\x82\xc2\xb3s (',,
"b'Le dije a mi mama de la perfo en la nariz y me dijo ""ve a verlo"" no s\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 si me lo dijo as\xc3\x83\xc6\x92\xc3\x82\xc2\xad buen pedo o en plan ""te voy a partir la madre""'",,
b'@yisusdude jaja a buena respuesta',,
b'@jancarlobg A veces me siento sola',,
b'Ni est\xc3\x83\xc6\x92\xc3\x82\xc2\xa1 tan bonita su novia',,
b'@MariaJose_LB yo ya quer\xc3\x83\xc6\x92\xc3\x82\xc2\xada asado de tu boda',,
b'Qu\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 feo es que te dejen de hablar',,
b'Porque crees que los hombres son complicados @belindapop #AskBeli aiuda!',,
b'@khareniafdz busco a Rodrigo en donde lo tienes ya lo extra\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o',,
b'Es turbo jodido no tener dinero para pagar academias de baile',,
b'me duele la cara y no precisamente por ser tan guapa...',,
b'@abstractjoerick Podr\xc3\x83\xc6\x92\xc3\x82\xc2\xadas ayudarme con un RT aqu\xc3\x83\xc6\x92\xc3\x82\xc2\xad por favor? Ten una linda noche',,
"b'Ah por cierto, sigo en el SS y hay una chava s\xc3\x83\xc6\x92\xc3\x82\xc2\xbaper bonita'",,
"b'Como ya no puedo caminar, lo \xc3\x83\xc6\x92\xc3\x82\xc2\xbanico en lo que pienso es en comida'",,
"b'Si te vas a sentir sincitiotrofoblasto para invadir, primero fijate de que c\xc3\x83\xc6\x92\xc3\x82\xc2\xa9lula germinal provienes'",,
b'@marianitapando \xc3\x83\xe2\x80\x9a\xc3\x82\xc2\xbfY si vamos y te invito una hamburguesa con su respectiva malteada? *En verdad lo digo*',,
b'Ya me rega\xc3\x83\xc6\x92\xc3\x82\xc2\xb1aron... al final s\xc3\x83\xc6\x92\xc3\x82\xc2\xad hubo agua y el internet sigue medio lento .Seguiremos informando.',,
b'Nunca les cre\xc3\x83\xc6\x92\xc3\x82\xc2\xad a mis papas eso de que estudiar es mas bonito que trabajar pero la neta si',,
"b'@alruizesparza Ese Sr. J.A. Gurria parece CANTINFLAS 2da parte... Le falta MUUUUUCHA, pero MUCHA CLASE y ETIQUETA!'",,
"b'@Olallo_Rubio genial tu \xc3\x83\xc6\x92\xc3\x82\xc2\xbaltimo Podcast... El de ""\xc3\x83\xe2\x80\x9a\xc3\x82\xc2\xbfqu\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 hubieran hecho ustedes?"" Ya quiero que salga la segunda parte'",,
b'La ni\xc3\x83\xc6\x92\xc3\x82\xc2\xb1a con d\xc3\x83\xc6\x92\xc3\x82\xc2\xa9ficit de atenci\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n que siempre est\xc3\x83\xc6\x92\xc3\x82\xc2\xa1 en su rollo mental. Perd\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n por ser tan poco atenta as\xc3\x83\xc6\x92\xc3\x82\xc2\xad nac\xc3\x83\xc6\x92\xc3\x82\xc2\xad',,
"b'@DianAngel01 En Mexico disque solo aumento la gasolina, pero si aumenta la gasolina aumenta todo y todo es TODO bueno menos el salario'",,
b'No es chido que te copien todo lo que pones eso quiere decir que a ella no le sale del coraz\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n escribirles....',,
"b'tomando en mi\xc3\x83\xc6\x92\xc3\x82\xc2\xa9rcoles?... na, s\xc3\x83\xc6\x92\xc3\x82\xc2\xb3lo olvide mis llaves y estoy esperando a mi vecina en restaurant coqueo de la esquina de casa'",,
"b'@MrAtigrado Eraaan? y yo apenas pasar\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 a segundo no manches. Ya no estudias all\xc3\x83\xc6\x92\xc3\x82\xc2\xa1? pero son deliciosas, regresa por una a la semana'",,
"b'De verdad espero que Voice no est\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 tan estresante, porque hubo unos cap\xc3\x83\xc6\x92\xc3\x82\xc2\xadtulos de Awl en los que me desesper\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 tanto que ya no quer\xc3\x83\xc6\x92\xc3\x82\xc2\xada verlo'",,
"b'@lunaelumen_ es broma amiga, lo sabes A mi tambi\xc3\x83\xc6\x92\xc3\x82\xc2\xa9n me gusta y mucho verte tan pero tan feliz. Te mereces lo mejor Te quiero y extra\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o.'",,
"b'@lili_blend jajaja \xc3\x83\xc6\x92\xc3\x82\xc2\xb1o! todav\xc3\x83\xc6\x92\xc3\x82\xc2\xada no, esta semana queda eso, pero creo ya tendr\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 nuevo n\xc3\x83\xc6\x92\xc3\x82\xc2\xbamero! roji el viernes no puedo, ir\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 al a las 6'",,
"b'Creo que en este momento la mejor soluci\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n es .. ir a casa de mi pap\xc3\x83\xc6\x92\xc3\x82\xc2\xa1, dormir en mi recamara y hacer como si el tiempo no ha pasado'",,
"b'El mejor amigo de mi pap\xc3\x83\xc6\x92\xc3\x82\xc2\xa1 muri\xc3\x83\xc6\x92\xc3\x82\xc2\xb3 ayer. Me conmov\xc3\x83\xc6\x92\xc3\x82\xc2\xad much\xc3\x83\xc6\x92\xc3\x82\xc2\xadsimo al escuchar a mi p\xc3\x83\xc6\x92\xc3\x82\xc2\xa1 decir con la voz cortada: ""Al menos me pude despedir.""'",,
"b'Lo chido de terminar todos tus estudios, es q ya no te tienes q preocupar de la escuela y cosas de esas SOOY LIBRE!!! UN ONI LIBRE!'",,
"b'\xc3\x83\xe2\x80\x9a\xc3\x82\xc2\xbfSe venden? \xc3\x83\xe2\x80\x9a\xc3\x82\xc2\xbfNo, verdad? Bueno, pues sSu tiempo tampoco. El m\xc3\x83\xc6\x92\xc3\x82\xc2\xado tampoco. espero puedan cachar lo que trato de decir. NO ES QUE SEA CODO.'",,
"b'\xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac\xc5\x93 Mi amor, te extra\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o. \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac\xc5\x93 As\xc3\x83\xc6\x92\xc3\x82\xc2\xb3mate a la ventana. \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac\xc5\x93 No hay nadie \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac\xc5\x93 Veras a un ni\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o en la cuna. \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac\xc5\x93 Pero.. \xc3\x83\xc2\xa2\xc3\xa2\xe2\x80\x9a\xc2\xac\xc3\xa2\xe2\x82\xac\xc5\x93 Bel\xc3\x83\xc6\x92\xc3\x82\xc2\xa9n, campanas de Bel\xc3\x83\xc6\x92\xc3\x82\xc2\xa9n'",,
"b'Llegu\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 c\xc3\x83\xc6\x92\xc3\x82\xc2\xb3mo Don Verga a la posada, lo primero que dije fue ""no voy a tomar"", eso fue a las 9, para las 11, ya llevaba un doce jajajaja'",,
"b'Buenos d\xc3\x83\xc6\x92\xc3\x82\xc2\xadas!!! Lo que sea que venga, d\xc3\x83\xc6\x92\xc3\x82\xc2\xa9jalo venir; lo que se quede, d\xc3\x83\xc6\x92\xc3\x82\xc2\xa9jalo estar; lo que se va, d\xc3\x83\xc6\x92\xc3\x82\xc2\xa9jalo ir... Fluye con la vida... Besitos'",,
b'Quien se va de party hoyyy.?? Yooo..!!! Quien trabaja ma\xc3\x83\xc6\x92\xc3\x82\xc2\xb1ana..?? Yooo...!!! quien ira cruda y desvelada al trabajo..??? Yoooo...!!!',,
b'lo que m\xc3\x83\xc6\x92\xc3\x82\xc2\xa1s me duele de haber ido a hacer mi examen esque no pude pinches votar PERO YA ESTOY AQU\xc3\x83\xc6\x92? PRROS!!!!!!!!!!! a darle toda la noche',,
b'@XiadaniCarbajal como discada sin tortillas',,
b'Me odio por estar gorda',,
b'Tengo la peor risa del mundo',,
b'#EsDeMexicanos dejar todo para el \xc3\x83\xc6\x92\xc3\x82\xc2\xbaltimo d\xc3\x83\xc6\x92\xc3\x82\xc2\xada.',,
b'@AbrahamIbaniez exacto! C\xc3\x83\xc6\x92\xc3\x82\xc2\xb3mo va todo por all\xc3\x83\xc6\x92\xc3\x82\xc2\xa1?',,
b'@vio219 recibe un fuerte abrazo hasta mixcoac desde Tlalpan 3000',,
"b'@elfilosoflow Lo bloqueo ALV!, no soy tan tolerante maigo'",,
"b'@arlenemaciel la peor noticia, nos quedamos sin americano en San Diego'",,
b'No deb\xc3\x83\xc6\x92\xc3\x82\xc2\xad cenar esos dos Hot dog me siento una pelota JAJAJA',,
"b'Cortar el cord\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n, es lo mejor que puedes hacer!!!'",,
"b'Rar\xc3\x83\xc6\x92\xc3\x82\xc2\xadsima vez me salen granos, pero cuando salen, uuuuuy, son volcanes'",,
"b'@dBtte Much\xc3\x83\xc6\x92\xc3\x82\xc2\xadsimas gracias, ya dile a tus muchachos que ganen para irme a festejar.'",,
b'Amigos esto de ser maestra es muy dif\xc3\x83\xc6\x92\xc3\x82\xc2\xadcil y m\xc3\x83\xc6\x92\xc3\x82\xc2\xa1s cuando no fue lo que estudi\xc3\x83\xc6\x92\xc3\x82\xc2\xa9',,
"b'Me la paso haciendola de pedo a todos, por todo, que feo ser as\xc3\x83\xc6\x92\xc3\x82\xc2\xad.'",,
b'Que padre que tengo trabajitos de free porque Bj\xc3\x83\xc6\x92\xc3\x82\xc2\xb6rk no se pagara sola y esta bien pinche caro',,
b'Me da miedo cuando la gente me dice Fernanda Dudes d\xc3\x83\xc6\x92\xc3\x82\xc2\xadganme Fer Fernanda suena como si estuvieran enojados conmigo',,
"b'Extra\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o tener con quien hablar de dibujitos, y colores, y dise\xc3\x83\xc6\x92\xc3\x82\xc2\xb1os, y esas cosas bonitas de madrugada #LauraSad'",,
b'Creo que en el Internado si pr\xc3\x83\xc6\x92\xc3\x82\xc2\xa1cticaba mucho LP... Y en la carrera... Y ahorita en el SS...',,
b'Y este ser\xc3\x83\xc6\x92\xc3\x82\xc2\xada @jaleon69 el \xc3\x83\xc6\x92\xc3\x82\xc2\xbaltimo intento por parte de autoridades de Educaci\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n ... esperamos ese \xc3\x83\xc6\x92\xc3\x82\xc2\xbaltimo reporte ... (muchos preguntan)',,
"b'Hoy @AlmiVareli me contagio de una rara sepa de gripe, comimos waffles y le ense\xc3\x83\xc6\x92\xc3\x82\xc2\xb1e m\xc3\x83\xc6\x92\xc3\x82\xc2\xbasica chida. More days like that!'",,
b'Me acaba de sacar un pinche pedo el se\xc3\x83\xc6\x92\xc3\x82\xc2\xb1or de los camotes o no s\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 que venda en su carrito que chifla muy feo',,
"b'@pollo_gigante Bueno quizas inteligente si soy, pero no soy simpatica ni guapa y siento que por eso no atraigo a las masas como los demas'",,
"b'La raza de Hillo ya me peg\xc3\x83\xc6\x92\xc3\x82\xc2\xb3 lo de decir la ""inserte nombre"". Se me olvida que aqu\xc3\x83\xc6\x92\xc3\x82\xc2\xad en GDL todo es ofensivo'",,
"b'JJ estar\xc3\x83\xc6\x92\xc3\x82\xc2\xa1 hoy en Coyoacan, ya tengo foto con el y autografo, pero es un buen tipo, quisiera poder ir para verlo otra vez'",,
"b'Me siento un tonto apenas viendo las de Star Wars, lo siento Es que se me hac\xc3\x83\xc6\x92\xc3\x82\xc2\xadan un buen.  Pero ya vamos con todo'",,
b'Amo q seas lo primero q veo al despertar y lo \xc3\x83\xc6\x92\xc3\x82\xc2\xbaltimo q veo antes de dormir. Buena idea pegar tu foto en el techo de mi cuarto @La_Gr0sera',,
b'Ese momento en el que vuelves a so\xc3\x83\xc6\x92\xc3\x82\xc2\xb1ar con la estupida que te cae gorda y te dan ganas de decirle a tu novio que la bloquee de todos lados',,
"b'Mi pap\xc3\x83\xc6\x92\xc3\x82\xc2\xa1 necesita que le diga un destino ma\xc3\x83\xc6\x92\xc3\x82\xc2\xb1ana a primera hora y no s\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 qu\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 hacer aiiiiuda Per\xc3\x83\xc6\x92\xc3\x82\xc2\xba , Puerto Rico,Colombia o Cuba? J E L P'",,
"b'@karoconc ash, es el jueves, es de voz en voz, en sus nuevas oficinas, pero es en la noche, no s\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 si puedas ir, pero estar\xc3\x83\xc6\x92\xc3\x82\xc2\xada padre'",,
"b'D\xc3\x83\xc6\x92\xc3\x82\xc2\xadas! La belleza de una persona no se mide por la forma en q luce, habla o camina, sino por la forma en q ama, ayuda y comparte.. Besitos'",,
"b'Todo pasa por algo...y esta vez a m\xc3\x83\xc6\x92\xc3\x82\xc2\xad me ha tocado. ""si te sientes en un abismo solo trata de salirte"" pero no, no es as\xc3\x83\xc6\x92\xc3\x82\xc2\xad de f\xc3\x83\xc6\x92\xc3\x82\xc2\xa1cil'",,
"b""Puedo ver ''El sexto sentido'' una y otra vez como Drew B. en 50 first dates y una y otra vez decir... Noo mms!! \xc3\x83\xc6\x92\xc3\xa2\xe2\x82\xac\xc2\xb0l era un fantasma!!!""",,
"b'Si si me despert\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 muy temprano!!!! La verdad creo q me ir\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 en pijama x un cafecito y me regreso a dormir jajaja Ok no, est\xc3\x83\xc6\x92\xc3\x82\xc2\xa1 bien!!!!'",,
b'@Soria2504 Jaja yo llor\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 cuando se muere Mar\xc3\x83\xc6\x92\xc3\x82\xc2\xada jajaja. Cuando le lleva serenata es lo m\xc3\x83\xc6\x92\xc3\x82\xc2\xa1s hermoso de la vida&gt;&gt;&gt;&gt;&gt;&gt;',,
b'@VictorVonKiddox ninguna de las anteriores',,
b'@AntonLofer acostada en cama enferma!',,
b'@dianagaabriela Es que ese lugar es grandioso',,
b'@andrearvenegas te extra\xc3\x83\xc6\x92\xc3\x82\xc2\xb1ooooooo nos extra\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o en San Miguel',,
b'Se dice f\xc3\x83\xc6\x92\xc3\x82\xc2\xa1cil pero hacerlo es complicado...',,
b'Que feo eso de medirse vestidos regresando de vacaciones',,
b'@astridvargas0 es exactamente lo contrario a la mente y la l\xc3\x83\xc6\x92\xc3\x82\xc2\xb3gica',,
"b'@SoyAlexCampos ya no me escribiste, mi estimado! Un abrazo virtual'",,
b'Alguien que se desvele conmigo hoy? No? Nadie? Okay',,
"b'@arturoare89 No, con el que no pica. Es que es tiernito jajajaja'",,
b'@MariannaAlfa @alfa913fm @alfa1045fm wow me encant\xc3\x83\xc6\x92\xc3\x82\xc2\xb3 la frase de hoy te estoy escuchando desde Baja saludos preciosa',,
b'@QuefishTV yo te amo pero como amiga *grita que es sapiosexual y huye a la sabana*',,
b'@ginabuentiempo jajajaja veo eso en perif\xc3\x83\xc6\x92\xc3\x82\xc2\xa9rico y me mato. Del choque o de la risa .',,
b'Porq hacen comida con mucho chile si saben que me enchilo devolada y no me gustan?',,
b'@CarryOnJoshua en FB es m\xc3\x83\xc6\x92\xc3\x82\xc2\xa1s f\xc3\x83\xc6\x92\xc3\x82\xc2\xa1cil porque todos los putos d\xc3\x83\xc6\x92\xc3\x82\xc2\xadas me sale un recuerdo pendejo en mi TL',,
"b'Leave it de Bombay Biclycle club siempre me rompe mi coraz\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n aunque no haya raz\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n, es tan triste'",,
"b'@tonioguzmanf Sorry, creo que no a todos nos gusta su sabor Cocido y con sal no est\xc3\x83\xc6\x92\xc3\x82\xc2\xa1 tan mal!'",,
"b'@JMzarrabal si claro, en este caso le agradecer\xc3\x83\xc6\x92\xc3\x82\xc2\xadamos nos lo traiga a diagn\xc3\x83\xc6\x92\xc3\x82\xc2\xb3stico a cualquiera de nuestras sucursales es total GRATIS'",,
b'@barbaraderegil Hola #ROSARIOTIJERAS. Gua que padre Serie o no puedo dejar de verla mas que mi Familia le Gusta mas nos degan picado',,
"b'Entre la canci\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n De ""puro puro chantaje"", ""la bicicleta"" y tus pinches mamadas me van a volver loco'",,
b'Me quede bien agusto acostada en la sala (algo que rara vez pasa) y mi mam\xc3\x83\xc6\x92\xc3\x82\xc2\xa1 no me quiere dejar dormir aqu\xc3\x83\xc6\x92\xc3\x82\xc2\xad',,
"b'El a\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o pasado hice un v\xc3\x83\xc6\x92\xc3\x82\xc2\xaddeo llamado ""la evoluci\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n gr\xc3\x83\xc6\x92\xc3\x82\xc2\xa1fica de halo"", tal vez haga lo mismo pero con gears of war'",,
b'Me despert\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 pendejo nivel 3: No me traje dinero porque iba a traer lunch. Se me olvid\xc3\x83\xc6\x92\xc3\x82\xc2\xb3 el lunch. Muero de hambre.',,
b'@puntoguionpunto Una vez sal\xc3\x83\xc6\x92\xc3\x82\xc2\xad a comer con mi ex vato y me la hizo de a Pedo en un Carls Jr. A veces no es porque t\xc3\x83\xc6\x92\xc3\x82\xc2\xba quieras',,
"b'De mis prop\xc3\x83\xc6\x92\xc3\x82\xc2\xb3sitos de a\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o nuevo voy muy bien, excepto lo de retomar lo del gym, la carga de trabajo me ha impedido continuar esta semana'",,
b'#EsteMartesTeinvito a que te ba\xc3\x83\xc6\x92\xc3\x82\xc2\xb1es puerquin!! y a sus kindergardeanos! Ya los vi!! Es muy tarde y agua fria! Mente fria! Emprendamos!',,
"b'Mi \xc3\x83\xc6\x92\xc3\x82\xc2\xbaltimo caf\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 del a\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o fue en sif\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n, mi primer caf\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 del a\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o nuevo fue en clever. Mi segundo caf\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 del a\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o es cold brew casero. Hola'",,
"b'El chiste es re\xc3\x83\xc6\x92\xc3\x82\xc2\xadrte de todo lo que crees que es gracioso aunque no te de risa... as\xc3\x83\xc6\x92\xc3\x82\xc2\xad cree que lo quieres todo idiota y si, lo quieres.'",,
"b'Le pedi a un par de amigos que calificaran su a\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o y la mayor\xc3\x83\xc6\x92\xc3\x82\xc2\xada fue 8, el mio est\xc3\x83\xc6\x92\xc3\x82\xc2\xa1 en 7 y pues que mierda pero tratare de tener uno mejor'",,
"b""Esa sensaci\xc3\x83\xc6\x92\xc3\x82\xc2\xb3n cuando cambiar\xc3\x83\xc6\x92\xc3\x82\xc2\xa1s de cel a uno q' ya no es muy funcional pero amas a uno nuevo que no es la gran cosa, pero ps es lo que hay""",,
