text,etiqueta
me duele la cara y no precisamente por ser tan guapa...,
@abstractjoerick Podrías ayudarme con un RT aquí por favor? Ten una linda noche,
"Ah por cierto, sigo en el SS y hay una chava súper bonita",
"Como ya no puedo caminar, lo único en lo que pienso es en comida",
"Si te vas a sentir sincitiotrofoblasto para invadir, primero fijate de que célula germinal provienes",
@marianitapando ¿Y si vamos y te invito una hamburguesa con su respectiva malteada? *En verdad lo digo*,
Ya me regañaron... al final sí hubo agua y el internet sigue medio lento .Seguiremos informando.,
Nunca les creí a mis papas eso de que estudiar es mas bonito que trabajar pero la neta si,
"@alruizesparza Ese Sr. J.A. Gurria parece CANTINFLAS 2da parte... Le falta MUUUUUCHA, pero MUCHA CLASE y ETIQUETA!",
"@Olallo_Rubio genial tu último Podcast... El de ""¿qué hubieran hecho ustedes?"" Ya quiero que salga la segunda parte",
La niña con déficit de atención que siempre está en su rollo mental. Perdón por ser tan poco atenta así nací,
"@DianAngel01 En Mexico disque solo aumento la gasolina, pero si aumenta la gasolina aumenta todo y todo es TODO bueno menos el salario",
No es chido que te copien todo lo que pones eso quiere decir que a ella no le sale del corazón escribirles....,
"tomando en miércoles?... na, sólo olvide mis llaves y estoy esperando a mi vecina en restaurant coqueo de la esquina de casa",
"@MrAtigrado Eraaan? y yo apenas pasaré a segundo no manches. Ya no estudias allá? pero son deliciosas, regresa por una a la semana",
"De verdad espero que Voice no esté tan estresante, porque hubo unos capítulos de Awl en los que me desesperé tanto que ya no quería verlo",
"@lunaelumen_ es broma amiga, lo sabes A mi también me gusta y mucho verte tan pero tan feliz. Te mereces lo mejor Te quiero y extraño.",
"@lili_blend jajaja ño! todavía no, esta semana queda eso, pero creo ya tendré nuevo número! roji el viernes no puedo, iré al a las 6",
"Creo que en este momento la mejor solución es .. ir a casa de mi papá, dormir en mi recamara y hacer como si el tiempo no ha pasado",
"El mejor amigo de mi papá murió ayer. Me conmoví muchísimo al escuchar a mi pá decir con la voz cortada: ""Al menos me pude despedir.""",
"Lo chido de terminar todos tus estudios, es q ya no te tienes q preocupar de la escuela y cosas de esas SOOY LIBRE!!! UN ONI LIBRE!",
"¿Se venden? ¿No, verdad? Bueno, pues sSu tiempo tampoco. El mío tampoco. espero puedan cachar lo que trato de decir. NO ES QUE SEA CODO.",
"– Mi amor, te extraño. – Asómate a la ventana. – No hay nadie – Veras a un niño en la cuna. – Pero.. – Belén, campanas de Belén",
"Llegué cómo Don Verga a la posada, lo primero que dije fue ""no voy a tomar"", eso fue a las 9, para las 11, ya llevaba un doce jajajaja",
"Buenos días!!! Lo que sea que venga, déjalo venir; lo que se quede, déjalo estar; lo que se va, déjalo ir... Fluye con la vida... Besitos",
Quien se va de party hoyyy.?? Yooo..!!! Quien trabaja mañana..?? Yooo...!!! quien ira cruda y desvelada al trabajo..??? Yoooo...!!!,
lo que más me duele de haber ido a hacer mi examen esque no pude pinches votar PERO YA ESTOY AQUÍ PRROS!!!!!!!!!!! a darle toda la noche,
@XiadaniCarbajal como discada sin tortillas,
Me odio por estar gorda,
Tengo la peor risa del mundo,
#EsDeMexicanos dejar todo para el último día.,
@AbrahamIbaniez exacto! Cómo va todo por allá?,
@vio219 recibe un fuerte abrazo hasta mixcoac desde Tlalpan 3000,
"@elfilosoflow Lo bloqueo ALV!, no soy tan tolerante maigo",
"@arlenemaciel la peor noticia, nos quedamos sin americano en San Diego",
No debí cenar esos dos Hot dog me siento una pelota JAJAJA,
"Cortar el cordón, es lo mejor que puedes hacer!!!",
"Rarísima vez me salen granos, pero cuando salen, uuuuuy, son volcanes",
"@dBtte Muchísimas gracias, ya dile a tus muchachos que ganen para irme a festejar.",
Amigos esto de ser maestra es muy difícil y más cuando no fue lo que estudié,
"Me la paso haciendola de pedo a todos, por todo, que feo ser así.",
Que padre que tengo trabajitos de free porque Björk no se pagara sola y esta bien pinche caro,
Me da miedo cuando la gente me dice Fernanda Dudes díganme Fer Fernanda suena como si estuvieran enojados conmigo,
"Extraño tener con quien hablar de dibujitos, y colores, y diseños, y esas cosas bonitas de madrugada #LauraSad",
Creo que en el Internado si prácticaba mucho LP... Y en la carrera... Y ahorita en el SS...,
Y este sería @jaleon69 el último intento por parte de autoridades de Educación ... esperamos ese último reporte ... (muchos preguntan),
"Hoy @AlmiVareli me contagio de una rara sepa de gripe, comimos waffles y le enseñe música chida. More days like that!",
Me acaba de sacar un pinche pedo el señor de los camotes o no sé que venda en su carrito que chifla muy feo,
"@pollo_gigante Bueno quizas inteligente si soy, pero no soy simpatica ni guapa y siento que por eso no atraigo a las masas como los demas",
"La raza de Hillo ya me pegó lo de decir la ""inserte nombre"". Se me olvida que aquí en GDL todo es ofensivo",
"JJ estará hoy en Coyoacan, ya tengo foto con el y autografo, pero es un buen tipo, quisiera poder ir para verlo otra vez",
"Me siento un tonto apenas viendo las de Star Wars, lo siento Es que se me hacían un buen.  Pero ya vamos con todo",
Amo q seas lo primero q veo al despertar y lo último q veo antes de dormir. Buena idea pegar tu foto en el techo de mi cuarto @La_Gr0sera,
Ese momento en el que vuelves a soñar con la estupida que te cae gorda y te dan ganas de decirle a tu novio que la bloquee de todos lados,
"Mi papá necesita que le diga un destino mañana a primera hora y no sé qué hacer aiiiiuda Perú , Puerto Rico,Colombia o Cuba? J E L P",
"@karoconc ash, es el jueves, es de voz en voz, en sus nuevas oficinas, pero es en la noche, no sé si puedas ir, pero estaría padre",
"Días! La belleza de una persona no se mide por la forma en q luce, habla o camina, sino por la forma en q ama, ayuda y comparte.. Besitos",
"Todo pasa por algo...y esta vez a mí me ha tocado. ""si te sientes en un abismo solo trata de salirte"" pero no, no es así de fácil",
Puedo ver ''El sexto sentido'' una y otra vez como Drew B. en 50 first dates y una y otra vez decir... Noo mms!! Él era un fantasma!!!,
"Si si me desperté muy temprano!!!! La verdad creo q me iré en pijama x un cafecito y me regreso a dormir jajaja Ok no, está bien!!!!",
@Soria2504 Jaja yo lloré cuando se muere María jajaja. Cuando le lleva serenata es lo más hermoso de la vida&gt;&gt;&gt;&gt;&gt;&gt;,
@VictorVonKiddox ninguna de las anteriores,
@AntonLofer acostada en cama enferma!,
@dianagaabriela Es que ese lugar es grandioso,
@andrearvenegas te extrañooooooo nos extraño en San Miguel,
Se dice fácil pero hacerlo es complicado...,
Que feo eso de medirse vestidos regresando de vacaciones,
@astridvargas0 es exactamente lo contrario a la mente y la lógica,
"@SoyAlexCampos ya no me escribiste, mi estimado! Un abrazo virtual",
Alguien que se desvele conmigo hoy? No? Nadie? Okay,
"@arturoare89 No, con el que no pica. Es que es tiernito jajajaja",
@MariannaAlfa @alfa913fm @alfa1045fm wow me encantó la frase de hoy te estoy escuchando desde Baja saludos preciosa,
@QuefishTV yo te amo pero como amiga *grita que es sapiosexual y huye a la sabana*,
@ginabuentiempo jajajaja veo eso en periférico y me mato. Del choque o de la risa .,
Porq hacen comida con mucho chile si saben que me enchilo devolada y no me gustan?,
@CarryOnJoshua en FB es más fácil porque todos los putos días me sale un recuerdo pendejo en mi TL,
"Leave it de Bombay Biclycle club siempre me rompe mi corazón aunque no haya razón, es tan triste",
"@tonioguzmanf Sorry, creo que no a todos nos gusta su sabor Cocido y con sal no está tan mal!",
"@JMzarrabal si claro, en este caso le agradeceríamos nos lo traiga a diagnóstico a cualquiera de nuestras sucursales es total GRATIS",
@barbaraderegil Hola #ROSARIOTIJERAS. Gua que padre Serie o no puedo dejar de verla mas que mi Familia le Gusta mas nos degan picado,
"Entre la canción De ""puro puro chantaje"", ""la bicicleta"" y tus pinches mamadas me van a volver loco",
Me quede bien agusto acostada en la sala (algo que rara vez pasa) y mi mamá no me quiere dejar dormir aquí,
"El año pasado hice un vídeo llamado ""la evolución gráfica de halo"", tal vez haga lo mismo pero con gears of war",
Me desperté pendejo nivel 3: No me traje dinero porque iba a traer lunch. Se me olvidó el lunch. Muero de hambre.,
@puntoguionpunto Una vez salí a comer con mi ex vato y me la hizo de a Pedo en un Carls Jr. A veces no es porque tú quieras,
"De mis propósitos de año nuevo voy muy bien, excepto lo de retomar lo del gym, la carga de trabajo me ha impedido continuar esta semana",
#EsteMartesTeinvito a que te bañes puerquin!! y a sus kindergardeanos! Ya los vi!! Es muy tarde y agua fria! Mente fria! Emprendamos!,
"Mi último café del año fue en sifón, mi primer café del año nuevo fue en clever. Mi segundo café del año es cold brew casero. Hola",
"El chiste es reírte de todo lo que crees que es gracioso aunque no te de risa... así cree que lo quieres todo idiota y si, lo quieres.",
"Le pedi a un par de amigos que calificaran su año y la mayoría fue 8, el mio está en 7 y pues que mierda pero tratare de tener uno mejor",
"Esa sensación cuando cambiarás de cel a uno q' ya no es muy funcional pero amas a uno nuevo que no es la gran cosa, pero ps es lo que hay",
@BTS_twt I LOVE YOU # JIMIN LO JURO &lt ERES HERMOZO EN TODOS LOS SENTIDOS  te juro que eres el chabo mas guapo y lindo para mi &lt,
"Regresar al GYM a completar rehabilitación y darte cuenta q ""tu novio"" q no sabe que es ""tu novio"" ya no es ""tu novio"" xq ya esta mamado!",
"-No camines delante de mí, puede que no te siga. No camines detrás de mí, puede que no te guíe. Camina junto a mí y sé mi amigo!!!...",
@antoniocomictam esperemos y sea cierto,
Tengo ganas de algo rico,
@nenita_andy así mero jejeje para que esperar,
Ojalá @arrobasina viniera a verme y hacerme feliz,
Cuando uno está drenado uno anda todo cansado,
Me comí yo sola una bolsa grande de cheetos,
"@lizzbigmc Perteeeeextos Lizzie jaja Mejórate pronto Me avisas, va?",
Ayer me quedé dormido y ya no vi el younow de @FaOrozco,
"@Lidi_Baeza_T ay noooo una vez más sin mí, todo el corazón roto",
@GigiIsMyLife19 Me ayudarias con un RT aquí por favor? Te lo agradecería mucho,
"@saidapg goey como nunca, papaya , una linda ensalada 🥗 ,lechuga espinacas pepino",
"@ToksMx pedí enchiladas de Mole y las tortillas horribles, se nota que son tacos congelados",
"Y yo que pensaba que era una buen amiga, ándale es mas sisañosa que nada",
@LEVANIA fijate q esta rola me remonta a épocas muy buenas. Me pone de buen humor.,
"Recordar es fácil para el que tiene memoria. Olvidar es difícil, para el que tiene corazón",
Como no estresarme si los de legal están bien idiotas? ._. ya quiero irme a mi casita,
Tomaré Mucho en cuenta sus comentarios de retroalimentación para ser mejor persona porque son muy importantes y especiales para mi,
"Si vienes, por ejemplo, desde las cuatro de la tarde, comenzaré a ser feliz desde las tres.",
Vi Morrissey de tendencia en Twitter y pensé 2 cosas... resultó ser la segunda y me emociona pensar que podría venir,
"Les platicó algo bonito? Bueno pues, el último día de clases del semestre es mi cumpleaños, es como mi regalo",
"Oye ya me gustaste como por casi 20 días seguidos (bueno, con sus respectivas excepciones), no sé qué está pasando",
Mi comida corrida favorita costaba 35 hasta diciembre. Excelente sazón y tortillas a mano. No hay postre. Ya subió a $45,
Wtf Clearest Blue de Chvrches en el comercial de Bonafont; digo no me molesta escuchar la canción cada 5 mn pero porque en un comercial,
MAMES en media hora nos cortan la luz y el agua y sin luz no hay internet JODER !!! Pinche Trump y la gasolina cara,
"@luis03_ Igualmente para ti, mijito. Te deseo lo mejor para este 2017!! Mil gracias por formar parte de esto. Viaja todo lo que puedas",
"No sé con qué cara pedir silencio para que me dejen dormir si es la 1:23 P.M, mi mamá ya hasta regresó de trabajar, pero estoy cansada",
La mala Mi vecino al que le rento mi cajón de estacionamiento no me ha pagado. La buena Me topé a mi vecino Dr Guapo en el elevador.,
"Perritos, acuerdenme mañana, por favor, ir a lavar mi camioneta, desde hace 1 mes que no la toca el agua  Por cierto, buena noche",
"""No me pueden dar más puto asco los hombres, muéranse ya."" Una nena más en el mundo ha perdido la razón por repetir lo que le dicen.",
"Amigos, el peor fail de mi vida. Creí que era física la revista, y pues es digital. PA' QUÉ VERGAS ME PIDE LA DIRECCIÓN ENTONCES. NEMBE.",
"31. ¿y tienes el pelo teñido?: Si, ya no lo quiero tener así se me maltrató. 32. si pudieras teñirte el pelo de que color seria?: Negro",
"@ArturoSolerdlm ahí te va: ""Dr. Que tengo?"" - 'Hmm como se dice 2+ en ingles?' - ""two more"",'pues eso, tienes un Tu-mor' maligno -",
"Sólo y triste bajo el sol en la playa busco amor debe haber un lugar para mí Gentes vienen, gentes van olas, agua, luz, y sal,,, la la la",
@AlexXtrecci ya haz algo bueno,
@Anddcampa siento no decir lo mismo,
@SritaAsesina Y espérate al frío europeo.,
"@_zylx jajaja entonces lo cambio, pinche grosero",
@avion1976 Sii es cierto Ya están cerrados los fichajes,
Hay promociones para sesiones románticas durante Enero y Febrero #DaniaMaciel #GenerandoRecuerdos,
Muy posiblemente suba un vivero de una canción bien chida,
@Clodette___ híjole esque allá no hay guajolotas así no podría vivir allá,
Lo mejor que veras hoy en @NuMusicOficial es a #JaryEnWakalaQueRico @Jaryoficial &lt,
"@DrChaquirria Jajaja no es por simplona, pero no me gusta la coca regular",
Lo primero que me dijo que no hiciera y fue lo primero que hice #perdon,
@manuelrdza no te vuelvo a confesar mi temor a viajar en estas condiciones del dólar alto,
#ElAmorTocóAMiPuertaPero Hoy no estoy disponible YO ENCONTRÉ EL AMOR HACE 18 AÑOS A TU LADO SANTIAGO OLAVARRÍA,
Ya me canse de escuchar canciones tristes pero son mis favs y pues no se puede.,
"@JosePabloCoello por orden de afición , cuáles son tus tres deportes favoritos y sus respectivos equipos Saludos José Pablo",
@_zylx jajaja que grosero! La dieta de la zona consiste en comer en la zona en la que andes,
Me siento más deprimido que carla morrison llegando al puesto de tamales y descubriendo que ya no hay de verde,
"@MiMovistarMX buen dia pregunta, actualmente hay problemas con la red?, mi equipo no conecta a la red Mucuaa gracias",
@belindapop #AskBeli ¿Sabes lo que significas para la vida de muchas personas (incluido yo)? FAN desde los 7 años tengo 24,
@Hirwin7 para que asi te puedan hacer reír y reír ah no que jamás pláticas con alguien MENTIROSO!!!!!!,
"Al discurso de Obama le faltó el ""¿Qué hubieran hecho ustedes?"" y seguro todos lo hubieran interpretado como un toque humorístico",
"Necesitamos urgentemente un caballero Jedi que devuelva de nuevo el equilibrio en el universo ""otro genio"" miss u David Bowie ",
Amiguitaaaa @MixLizGomez buenooos diaaas!!! Excelente viernes de reyes!! A mi me trajeron la amistad d 1 d las mejores osease ud miss,
"@EduardoRamos95R hola gordi, buenos días, ya no me avisaste si estás bien? No pude dormir bien por esperarte te amo muchísimo &lt",
Y terminando el día con una genial plática con mi compadre sin importar que él siga en Vancouver y yo acá! Jaja I'll be back!,
"Es asi como sentir emocion xq algo bueno va a pasar, estoy feliz xq ya el cambio esta en la esquina y presiento que todo va a mejorar",
"@pilarcoutino ah no, a mi indirectas no, quieres que te diga diario que te amo? Ok y quien se largo hasta casa de las brujas? Yo?",
Cada año Mau me súper jura y prejura que vendrá a eso y nunca viene por más que le digo que le invito los tacos de a metro no jala.,
Cómo le avanzamos ya q mi compañero se tomó la molestía de venir a mi ofi (o sea casa) ahora q voy a comer porq ni tiempo de pedir comida,
"Ser libre es lo mejor que puedes sentir, dejar de hacerle caso a los demás y hacerte caso a ti mismo es la mejor sensación en la vida &lt",
"De niño veía luces en el cielo y creía que era un ovni, hoy suena mi cel y pienso que es un msj tuyo, años pasan y sigo igual de pendejo.",
Contestarle a mi novio 2hrs y media después porque neta mi celular murió y que me escriba un ¡OH YA!???? O sea neta no me creyó o como??,
@KitzyaGarcia quiero verla de nuevo,
@MaryAbelToluk lo malo que están lejos,
@vinymodee ah que bien! Provecho vecino,
@RichRuiz_ qué feo tirar tan deliciosa comida jaja,
"@jarhatpacheco @TusquetsEditor @Planetadelibros @PlanetaLibrosCo encantada con tu reseña, leeré el libro",
@Jorge68639143 vaaayaaa! Y no necesitó de psicólogo como Gignac,
@RoberttStark Jajajaja pero mi voz interior quiere que lo corte.,
"Adivinen qué, mi mal presentimiento se está haciendo realidad.",
Ojalá Diosito me mande un buen muchacho que no sea tan pendejo,
La vieja del.aseo no ha venido la jefa Y está todo bien sucio,
Estar en los brazos de mi novio es lo único que quiero y necesito,
"@OyeeDanny jajajaja ay ya no te me pongas pesado, tienes que ir a más partidos",
No había estado tan triste desde que richard hammond y jeremy clarkson dejaron top gear BBC,
@caelike #VerdadOretoCaeli Te reto a gritar te amo Cristofer Gonzalez el mas hermoso del mundo y te quiero muchisimo #SeQueNoLoAras,
Que bueno que este año no me propuse ser más puntual porque hubiera valido verga desde ahorita ya,
"Tu novio el fresa | Yo merengues. Digo, que feo que feo eso de las frutas.",
"#TengoLaFortunaDe Tener una grandiosa y hermosa familia Dios Gracias por mandarme una gran familia, un gran esposo y unos hijos",
@jassibega10 A mi tampoco me creyeron Yo cuando publico algo es porque ya están confirmados Pero hay gente que no me creyó,
"Ah chinga, pues que no soy el centro del mundo, tienen razón, es que soy muy ridícula, dispénsenme",
Me caga vivir tan lejos de tod porque sino ahorita los invitaba a mi casa a ver Breaking Bad y a comer dulces,
Muchas veces dije que ojalá pudiera borrar ciertos recuerdos de mi mente pero ahora se que se siente culero no acordarse de las cosas,
@hiletrado gordo no se de ke es el mame mandame un link o ke pedito pa echarle carrilla tmb. Ando desconectado con eso del gasolinazo,
"Ay diojjj odio que el frío y ahorita en Roma están a 1 grado, alguien me elica que voy a hacer la próxima semana?",
"@jcpasar me inculcó que por muy difícil que sea, al toro se le toma por los cuernos. Y aquí voy, a cerrar un círculo más",
"O sea, cuando ando en malos pasos, me sale una persona súper bien ... ya no sé qué hacer con los 2. Llevame Diosito Jajaja",
Y así ws como te extrañas de a tus amigos de la prepa  y agradeces por convivir más con niños por que puedes entender mil cosas,
"Buenos días!! Si permites que tu corazón sea tu brújula, tu mente sea tu mapa y tu alma sea tu guía, entonces nunca te perderás.. Besitos",
"P: Guey, ¿te duele la garganta? Yo: Nope, ¿por qué? P: Roncaste bien cabrón anoche. Yo: No volveré a dormir con nadie",
"@MarcoEspindola5 Ni pepsi rey ! Perdió el ame !!! La neta se hecho para atrás y eso le peso, Yo digo q era meter a Darwin y Buscar el 2do",
"Mi celular no sirve. ¿Por qué lo dices? Es que no me llegan sus mensajes. A lo mejor no te ha mandado mensajes. QUE NO SIRVE, DIJE!",
"La neta no entiendo a mi crush, creo que ya no me quiere, luego me besa la mano, luego se va con otra idiota, pero bue, eso ya fue",
"¡Rápido a qué comprar el iPhone 7 antes que saqu...! ¿Cómo, ya lo están presentando el 8? Bueno, ese mero a que com... ¿Ya van en el 9?",
@JCorHe sorry por el oso,
@vanemaxima falto prendido fuego para participar,
@LuisDaHernandez lo que callan los machos alfas,
Que hueva hacer las primeras tareas.,
Chingado si hay moros en la costa rayosss,
Por eso les digo que no se ilusionen chavos,
@lizbethCTorres bored jajaj o tal vez mi fuerte relación con netflix,
"Hoy, será bueno comer una torta ahogada en Santa Tere",
@ClubPaniniMx @PaniniComicsMx genial espero que algun dia sacan uno de bleach y fairy tail,
"@JuanGrimaldo791 no dibuje a juve por respeto, pero es muy buena idea.",
#LasMañanasSonMejoresSi Las paso contigo Mis mejores mañanas son maravillosas estando a tu lado MI GORDO,
"@LupitaRojas13 ya flaca, ya estamos a mitad de semana, ves como se pasa rápido",
"Hola @rofacio para renovación puedes pagar no solo en agencia, también en cualquiera de nuestros agentes",
@Ignaciorobles que feo que mucha gente murió por lo que un tipo dijo. ¿qué culpa tenían? #noesjusto,
"Si algún día llego hacer mi horario como yo quiero, ese día yo invito las chelas.",
Como cuando se caen los planes... otra vez pero lo bueno es que es por algo mejor.,
"Yo amo a los dos y soy fanática de los dos, desearía que ganará @hijodelfantasma pero también desearía que ganara @GarzaaJr",
"la neta yo nunca he dejado de sufrir, de chiquita fui asmática y ahora tengo rinitis; mejor me muero",
@Alan_Jz no en México no lo creo u.u pues a finales del 2016 dijeron que de nuevo para el 2017 no habría nada,
¿¿Alguien sabe si también bloquearon el camino a Belén??. . . Es que no me trajeron nada los reyes magos,
"-Disculpe ¿Qué hora tiene? -Está equivocado señor, esta es una casa de empeño. -Lo sé pendejo, ahí empeñe mi reloj",
"@lore_rzcruz la verdad que sí, si aquí en la ciudad ya está bien caro todo, me imagino allá Ya me quiero ir para allá",
"@erickcdl pues son las que te reciben y cuidan si andas malito. Y todo mundo agradece al ""doctor"", pero nunca al equipo medico",
"De verdad de verdad no quiero regresar, mi vida es tan fea en la CDMX, aquí estoy lejitos de todo y me distraigo siempre.",
"Anda dando vueltas a mi kbza algo muy chingon y me voy a desconcentrar, si te pasa algo igual a lo mio, te lo recomiendo.",
"@AngelFabs90 ay, la verdad es que si soy el más feliz del mundo con mis Beats. Junto a los Beats los EarPods y los AirPods son una basura",
"Por que a mí , tremendo cuerpazo de hombre , me la ofreció y yo bien mustio le digo no gracias. Tengo caca en el cerebro o que pedo",
"- Doctor, ¿Cómo voy a quedar de la vista? - Tendrá mirada erótica. - ¿Así bien sexy? - No. Va a ver pura verga. -",
"Días! Tú eres el único a cargo de tu felicidad. Deja d darles a los demás el poder d controlar tu sonrisa, tu valor y tu actitud. Besitos",
"Btw hoy que vino Ferchus me di cuenta que ya tiene la.voz más grave que yo. tiene 12 años... seré viejita pero con voz de bebé, ya me vi.",
"No lo sé, no soy sientifiko. Pero publicando que lo eres, solo diciendo que lo eres chambón, ect. No vas a cambiar nada, de nada, de nada",
Hoy le dí asesoría a 1 dude q qería recuperar a su ex. Cada q habla d ella se le ilumina la cara. Voy a hacer lo imposible pa q la logre.,
@VonnePadilla que triste maldita obesidad,
Es muy triste esta noticia,
Perdimos nuestro corazón rojo en snap,
Como cuando no estoy acostumbrada a desayunar,
@Dannvvillegas vida de adulto independiente a la Ceci Medina,
"No hay que buscar, la indicada llegará solita",
"@Frenastenico estaré al pendiente de tus siguientes covers, saludos !",
Como cuando tu amiga te recuerda tu peor frase de ligue,
Tenía rato que no me sentía así de cansado. Pero feliz,
"@vmontufar Gracias, querido! Te mando abrazo de vuelta, espero verte pronto",
Qué triste es saber que estarás estresada por el último jalón en la universidad,
Bienvenidas Paola y Brenda Ellas van a estar haciendo su servicio social en Ollin …,
"@ad_springall aaaaajajajajajajajajaj pues me lo rompió, y yo diciéndote hace una semana era mi todo hahaha",
@oscarmartin me gustaría comprar tus productos por desgracia aquí el euro está carísimo pero seguiré tus consejos gracias,
"""Lo bueno que los músculos tienen memoria"" - Lo malo es que los míos tienen Alzheimer #TristeHistoria",
@cherolero @DomesticoMX hola. Cuesta 80 y no importa la hora que llegues. Pero aprovecha por lo menos una horita,
"Ya terminé las temporadas disponibles de RPDR en Netflix y pues no mamen, necesito ver la que sigue.",
@vaqueromx7 bueno ni tan niño bueno he jajaja ahora ya todo un niño malo y a que se debe el cambio?,
"Y trozos de té de limón, bueno esa hojita y otras cosas verdes pero me comí la mitad estaba muy llenador",
"@Diabolik969 No, a esos va mil millones de personas, me gustan los conciertos pequeños, la rara vez que asisto a alguno",
Buenos días!!! Para vivir nuevas eeriencias tendrás que atreverte a dejar atrás la comodidad de las costumbres... Suelta... Besitos,
"@VSCLS estimados míos, para el círculo de Lectura de Los hermanos Karamazov, ¿hay registro en línea o debo hacerlo directo en la biblio?",
"y aclaro que asi como no todos los chilangos son asi de porros, nosotros no eramos los inadaptados, maldita ignorancia, gente sin valores",
"Lo peor de que mi mejor amigo no tenga whats, es que no tengo con quien hablar de mi stalker y que me dé consejos sarcásticos",
"10 km diarios, subir al piso 51 de reforma por las escaleras, algo voy a tener que hacer jajaj pero lo bailado nadie nos lo quita",
"Buenos días!!! Cuando aprendes que la paz, la guerra, la felicidad y la tristeza están en ti… Entonces aprendes a decidir.... Besitos",
@boigen y cuando te regresas? Se me hace que ya no nos vimos de nuevo! Feliz 2017! Sera ya en Alemania entonces! (voy a Utrecht),
Ardido por qué un amigo en fb hizo un video con sus mejores fotos del año y pone hasta a Juan de la chingada y yo salgo en una del montón,
"Como kien dice, cada semana es lo mismo jajaja..... Y aún así critican mi vida, siendo q no se fijan en la de ellos Buenas noches y días",
"Días!!! No trates de complacer a todos, no le temas al cambio, no vivas en el pasado, no te menosprecies, no pienses de más... Besitos",
"Ayer un canadiense me preguntó que a que hora abrían el local de arriba, le dije que a las 10, eran las 10:10 y él dijo ""oh, mexican 10""",
